AnalysisId,SampleId,SampleNum,Type,Fixed,Latitude,Longitude,Distance_miles,Bearing,Direction,CollectionDate,Source,Description,SpectraFile,SamplingTime,LiveTime,InstrumentHeight,Uncertainty,MDA,MethodCode,Moisture_pct,Nuclide,Result,Unit
221909,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.119715,InSituGammaSpec,,Te-129m,0,uCi/m2
221911,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.00346,InSituGammaSpec,,Te-132,0,uCi/m2
221913,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0.000656,,InSituGammaSpec,,La-140,0.001163,uCi/m2
221915,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.00391,InSituGammaSpec,,Nb-95,0,uCi/m2
221917,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0.000321,,InSituGammaSpec,,Ag-110m,0.000747,uCi/m2
221919,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0.054279,,InSituGammaSpec,,Cs-134,0.112195,uCi/m2
221921,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0.001747304,,InSituGammaSpec,,Cs-137,0.142482732,uCi/m2
221923,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.002701745,InSituGammaSpec,,Cs-136,0,uCi/m2
221925,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.00639,InSituGammaSpec,,I-131,0,uCi/m2
221927,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.01314,InSituGammaSpec,,I-132,0,uCi/m2
